title,tags
Counter-Strike,"Action, FPS, Multiplayer, Shooter, Classic, Team-Based, First-Person, Competitive, Tactical, 1990's, eSports, PvP, Old School, Military, Strategy, Masterpiece, Survival, Score Attack, 1980s, Assassin"
Team Fortress Classic,"Action, FPS, Multiplayer, Classic, Hero Shooter, Shooter, Team-Based, Class-Based, First-Person, 1990's, Old School, Co-op, Competitive, Fast-Paced, Retro, Online Co-Op, Violent, Remake, Mod, Funny"
Day of Defeat,"FPS, World War II, Multiplayer, Shooter, Action, War, Team-Based, Classic, First-Person, Class-Based, Military, Historical, Tactical, Co-op, Singleplayer, Difficult, Retro, Strategy, World War I, Old School"
Deathmatch Classic,"Action, FPS, Classic, Multiplayer, Shooter, First-Person, Arena Shooter, Sci-fi, Old School, Masterpiece, Competitive, Co-op, Fast-Paced, Retro, Gore, Difficult, 1990's"
Half-Life: Opposing Force,"FPS, Action, Classic, Sci-fi, Singleplayer, Shooter, First-Person, Aliens, 1990's, Adventure, Atmospheric, Military, Story Rich, Masterpiece, Silent Protagonist, Great Soundtrack, Gore, Co-op, Puzzle, Moddable"
Ricochet,"Action, FPS, Multiplayer, Masterpiece, Classic, First-Person, Sci-fi, Shooter, Space, Cyberpunk, Memes, Platformer, Conspiracy, Psychological Horror, 3D, Retro, Old School, Cult Classic, Competitive, Sports"
Half-Life,"FPS, Classic, Action, Sci-fi, Masterpiece, Singleplayer, Shooter, First-Person, 1990's, Aliens, Multiplayer, Story Rich, Adventure, Atmospheric, Silent Protagonist, Great Soundtrack, Moddable, Retro, Linear, Difficult"
Counter-Strike: Condition Zero,"Action, FPS, Shooter, Multiplayer, First-Person, Classic, Singleplayer, Tactical, Team-Based, Competitive, Strategy, Online Co-Op, Military, Masterpiece, Adventure, Survival, Atmospheric, Open World, Simulation, Dark"
Half-Life: Blue Shift,"FPS, Action, Sci-fi, Singleplayer, Shooter, Aliens, First-Person, Classic, Zombies, Adventure, 1990's, Short, Atmospheric, Silent Protagonist, Story Rich, Masterpiece, Puzzle, Great Soundtrack, Moddable, Retro"
Half-Life 2,"FPS, Action, Sci-fi, Classic, Masterpiece, Singleplayer, Story Rich, Shooter, First-Person, Adventure, Dystopian , Atmospheric, Zombies, Silent Protagonist, Physics, Aliens, Great Soundtrack, Puzzle, Multiplayer, Horror"
Counter-Strike: Source,"Shooter, Action, FPS, Multiplayer, Team-Based, First-Person, Tactical, Competitive, PvP, eSports, Military, War, Strategy, Moddable, Difficult, Singleplayer, Atmospheric, Survival, Simulation, Sandbox"
Half-Life: Source,"FPS, Action, Classic, Sci-fi, Singleplayer, Shooter, First-Person, Aliens, Zombies, Story Rich, 1990's, Adventure, Remake, Masterpiece, Atmospheric, Horror, Silent Protagonist, Multiplayer, Moddable, Great Soundtrack"
Day of Defeat: Source,"FPS, World War II, Multiplayer, Action, Shooter, Team-Based, Military, War, First-Person, Historical, Class-Based, Classic, Tactical, Realistic, Online Co-Op, Strategy, Gore, Massively Multiplayer, Simulation, Comedy"
Half-Life 2: Deathmatch,"Action, FPS, Multiplayer, Shooter, First-Person, Sci-fi, Physics, Competitive, Funny, Co-op, Old School, Masterpiece, PvP, Arena Shooter, Atmospheric, Moddable, Adventure, Great Soundtrack, Singleplayer, Online Co-Op"
Half-Life 2: Lost Coast,"FPS, Action, Singleplayer, First-Person, Sci-fi, Shooter, Short, Aliens, Classic, Dystopian , Adventure, Futuristic, Benchmark, Atmospheric, Silent Protagonist, Free to Play, Multiplayer, Post-apocalyptic, Story Rich, Great Soundtrack"
Half-Life Deathmatch: Source,"Action, FPS, Multiplayer, Shooter, Sci-fi, First-Person, Classic, Masterpiece, Remake, Adventure, Horror, Fast-Paced, Competitive, Atmospheric, Singleplayer"
Half-Life 2: Episode One,"FPS, Action, Sci-fi, Singleplayer, Story Rich, First-Person, Shooter, Classic, Dystopian , Adventure, Zombies, Aliens, Episodic, Atmospheric, Great Soundtrack, Silent Protagonist, Short, Masterpiece, Puzzle, Cinematic"
Portal,"Puzzle, Puzzle Platformer, 3D Platformer, First-Person, Singleplayer, Sci-fi, Comedy, Female Protagonist, Action, Funny, Physics, Story Rich, Platformer, Classic, Science, FPS, Masterpiece, Atmospheric, Short, Adventure"
Half-Life 2: Episode Two,"FPS, Action, Sci-fi, Singleplayer, Shooter, Story Rich, First-Person, Classic, Adventure, Aliens, Atmospheric, Zombies, Silent Protagonist, Masterpiece, Great Soundtrack, Dystopian , Post-apocalyptic, Episodic, Puzzle, Horror"
Team Fortress 2,"Free to Play, Hero Shooter, Multiplayer, FPS, Shooter, Action, Class-Based, Team-Based, Funny, First-Person, Online Co-Op, Cartoony, Competitive, Trading, Co-op, Comedy, Robots, Tactical, Cartoon, Crafting"
Left 4 Dead,"Zombies, Co-op, Multiplayer, FPS, Action, Shooter, Online Co-Op, Horror, Team-Based, Survival, First-Person, Post-apocalyptic, Singleplayer, Atmospheric, Adventure, Tactical, Moddable, Competitive, Replay Value, Female Protagonist"
Left 4 Dead 2,"Zombies, Co-op, FPS, Multiplayer, Shooter, Action, Online Co-Op, Survival, Horror, First-Person, Gore, Team-Based, Moddable, Survival Horror, Post-apocalyptic, Singleplayer, Adventure, Local Co-Op, Replay Value, Tactical"
Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, Tower Defense, RPG, Fantasy, Character Customization, Replay Value, Action RPG, Simulation"
Portal 2,"Platformer, Dark Humor, Puzzle Platformer, First-Person, Story Rich, 3D Platformer, Female Protagonist, Action-Adventure, FPS, Funny, Puzzle, Action, Physics, Level Editor, Sci-fi, Co-op, Science, Atmospheric, Comedy, Adventure"
Alien Swarm,"Free to Play, Co-op, Action, Multiplayer, Online Co-Op, Aliens, Shooter, Sci-fi, Top-Down, Top-Down Shooter, Survival, Third Person, Class-Based, PvE, Team-Based, Third-Person Shooter, Moddable, Singleplayer, Adventure, Strategy"
Counter-Strike: Global Offensive,"FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable"
Rag Doll Kung Fu,"2D Fighter, Martial Arts, Multiplayer, Intentionally Awkward Controls, Indie, Physics, Singleplayer, Fighting, Action, 2D"
Red Orchestra: Ostfront 41-45,"World War II, Action, FPS, Realistic, Multiplayer, Singleplayer, Shooter, War, Tactical, Military, Simulation, Historical, Team-Based, Classic, Strategy, Atmospheric, Masterpiece, First-Person, Survival, Tanks"
Killing Floor,"FPS, Zombies, Co-op, Survival, Horror, Action, Multiplayer, Online Co-Op, Gore, Shooter, Team-Based, First-Person, Survival Horror, Moddable, Great Soundtrack, Class-Based, Singleplayer, Difficult, Comedy, Adventure"
SiN Episodes: Emergence,"Action, FPS, Cyberpunk, Sci-fi, Classic, Shooter, Singleplayer, First-Person, Episodic, Short, Old School, Gore, Futuristic"
Darwinia,"Strategy, Indie, RTS, Singleplayer, Retro, Story Rich, Action, Top-Down, Atmospheric"
Uplink,"Hacking, Indie, Strategy, Singleplayer, Cyberpunk, Great Soundtrack, Simulation, Classic, Sci-fi, Real-Time with Pause, 2D, Experimental, Atmospheric, Story Rich, Addictive, Puzzle, Roguelike, Perma Death"
DEFCON,"Strategy, Indie, Wargame, Multiplayer, Cold War, Real-Time with Pause, Simulation, RTS, War, Atmospheric, Diplomacy, 2D, Tactical, Singleplayer, Psychological Horror, Great Soundtrack, Addictive, Horror, Military"
Multiwinia,"Indie, RTS, Strategy, Multiplayer, Singleplayer, Retro"
Dangerous Waters,"Strategy, Naval Combat, Simulation, Naval, Submarine, Multiplayer, Military"
Space Empires IV Deluxe,"Strategy, 4X, Sci-fi, Space, Turn-Based Strategy, Turn-Based, Singleplayer"
Disciples II: Rise of the Elves ,"Strategy, Turn-Based Strategy, Classic, Fantasy, Turn-Based, Masterpiece, Dark Fantasy, Atmospheric, Great Soundtrack, RPG"
Disciples II: Gallean's Return,"Turn-Based Strategy, Strategy, Masterpiece, Classic, Atmospheric, Dark Fantasy, Turn-Based, Fantasy, RPG, Gothic, Tactical, Great Soundtrack, Multiplayer, Isometric"
Iron Warriors: T - 72 Tank Command ,"Simulation, Strategy, Tanks, Military, Singleplayer"
Space Empires V,"Strategy, 4X, Space, Turn-Based, Sci-fi, Singleplayer, Turn-Based Strategy, Multiplayer"
